Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,4.627500,4.740000,3.787500,3.847500,3.533994,1289849200
2010-02-01,3.862500,4.475000,3.830000,4.050000,3.719993,1286132400
2010-03-01,4.052500,4.585000,4.020000,4.350000,3.995548,1174781600
2010-04-01,4.370000,4.532500,3.925000,3.927500,3.607475,1710998000
2010-05-01,3.947500,3.970000,2.962500,3.285000,3.017329,2077272000
2010-06-01,3.240000,3.277500,2.552500,2.552500,2.344515,1369259200
2010-07-01,2.560000,2.870000,2.230000,2.297500,2.110293,1923656800
2010-08-01,2.337500,2.562500,2.162500,2.332500,2.142440,1941285600
2010-09-01,2.367500,3.090000,2.335000,2.920000,2.682070,1753316400
2010-10-01,2.962500,3.060000,2.595000,3.005000,2.760144,1580318400
2010-11-01,3.025000,3.460000,2.985000,3.402500,3.125255,1453930000
2010-12-01,3.470000,3.855000,3.465000,3.850000,3.536290,1120413600
2011-01-01,3.880000,6.262500,3.855000,5.980000,5.492733,3273688400
2011-02-01,6.032500,6.542500,5.445000,5.665000,5.203400,2402576400
2011-03-01,5.675000,5.747500,4.252500,4.615000,4.238956,2759758000
2011-04-01,4.675000,5.110000,4.207500,5.000000,4.592585,1532207200
2011-05-01,5.105000,5.130000,4.280000,5.010000,4.601769,1716251600
2011-06-01,4.987500,4.995000,3.715000,3.985000,3.660290,1595378400
2011-07-01,3.985000,4.070000,3.397500,3.457500,3.175772,1455165600
2011-08-01,3.537500,3.845000,2.912500,3.327500,3.056365,2257190400
2011-09-01,3.372500,4.025000,3.095000,3.127500,2.872662,2008474000
2011-10-01,3.087500,3.972500,2.867500,3.700000,3.398513,1485136400
2011-11-01,3.565000,3.917500,3.375000,3.907500,3.589106,1616603200
2011-12-01,3.875000,4.012500,3.277500,3.465000,3.182661,974234000
2012-01-01,3.575000,3.810000,3.375000,3.692500,3.391625,1159666800
2012-02-01,3.735000,4.225000,3.682500,3.787500,3.478884,1307829600
2012-03-01,3.802500,3.900000,3.560000,3.850000,3.536290,1032524400
2012-04-01,3.840000,3.872500,3.187500,3.250000,2.985181,955092400
2012-05-01,3.232500,3.420000,2.957500,3.107500,2.854292,1137001200
2012-06-01,3.042500,3.462500,2.907500,3.455000,3.173477,1152936800
2012-07-01,3.472500,3.475000,3.040000,3.385000,3.109180,849987200
2012-08-01,3.405000,3.805000,3.275000,3.507500,3.221699,991712400
2012-09-01,3.450000,3.522500,3.237500,3.335000,3.063255,874944800
2012-10-01,3.350000,3.450000,2.957500,2.995000,2.750958,813577200
2012-11-01,3.010000,3.270000,2.787500,2.992500,2.748663,998561200
2012-12-01,3.030000,3.202500,2.925000,3.065000,2.833417,803734000
2013-01-01,3.140000,3.297500,2.977500,3.065000,2.833417,918161200
2013-02-01,3.090000,3.212500,3.012500,3.165000,2.925862,990168000
2013-03-01,3.142500,3.250000,3.080000,3.207500,2.983342,661370800
2013-04-01,3.200000,3.442500,3.010000,3.442500,3.201919,938607600
2013-05-01,3.442500,3.745000,3.380000,3.617500,3.364689,829154000
2013-06-01,3.622500,3.870000,3.457500,3.510000,3.281285,929570800
2013-07-01,3.535000,3.695000,3.490000,3.610000,3.374768,522999200
2013-08-01,3.622500,3.850000,3.277500,3.687500,3.447219,785706400
2013-09-01,3.697500,4.025000,3.667500,3.890000,3.654860,481993200
2013-10-01,3.895000,4.002500,3.750000,3.797500,3.567951,577261200
2013-11-01,3.817500,4.080000,3.630000,3.900000,3.664255,662947600
2013-12-01,3.885000,4.025000,3.725000,4.005000,3.783287,616797600
2014-01-01,3.980000,4.110000,3.832500,3.925000,3.707715,542105200
2014-02-01,3.952500,4.762500,3.830000,4.595000,4.340626,772256800
2014-03-01,4.492500,4.742500,4.390000,4.477500,4.248726,721798800
2014-04-01,4.620000,4.865000,4.470000,4.617500,4.381574,693700800
2014-05-01,4.687500,4.782500,4.427500,4.750000,4.507304,561260000
2014-06-01,4.765000,4.932500,4.557500,4.635000,4.418438,527713200
2014-07-01,4.630000,4.900000,4.355000,4.375000,4.170586,626903600
2014-08-01,4.375000,4.872500,4.335000,4.862500,4.635308,607985200
2014-09-01,4.875000,5.037500,4.555000,4.612500,4.416439,551238800
2014-10-01,4.620000,4.887500,4.192500,4.885000,4.677356,660721200
2014-11-01,4.997500,5.272500,4.845000,5.242500,5.019660,464309600
2014-12-01,5.220000,5.312500,4.775000,5.012500,4.819747,425700400
2015-01-01,5.032500,5.187500,4.770000,4.800000,4.615420,414035200
2015-02-01,4.830000,5.625000,4.735000,5.515000,5.302924,419354000
2015-03-01,5.500000,5.902500,5.115000,5.232500,5.050661,731044400
2015-04-01,5.252500,5.710000,5.162500,5.550000,5.357128,567365200
2015-05-01,5.595000,5.720000,5.095000,5.532500,5.340235,708133600
2015-06-01,5.567500,5.650000,4.992500,5.027500,4.875018,733383200
2015-07-01,5.152500,5.225000,4.772500,4.987500,4.836230,548040400
2015-08-01,5.027500,5.987500,4.962500,5.620000,5.449546,946949200
2015-09-01,5.457500,6.170000,5.350000,6.162500,6.000606,648020800
2015-10-01,6.162500,7.195000,5.867500,7.092500,6.906175,805231600
2015-11-01,7.115000,7.985000,6.907500,7.930000,7.721673,734481600
2015-12-01,8.000000,8.485000,7.992500,8.240000,8.053995,562717200
