Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,5.000000,5.184000,2.996000,3.988000,3.988000,322879000
2010-08-01,4.100000,4.436000,3.478000,3.896000,3.896000,75191000
2010-09-01,3.924000,4.632000,3.900000,4.082000,4.082000,90229500
2010-10-01,4.138000,4.374000,4.000000,4.368000,4.368000,32739000
2010-11-01,4.388000,7.200000,4.210000,7.066000,7.066000,141575500
2010-12-01,7.174000,7.284000,5.000000,5.326000,5.326000,184464500
2011-01-01,5.368000,5.742000,4.474000,4.820000,4.820000,142100500
2011-02-01,4.862000,5.098000,4.222000,4.778000,4.778000,146517500
2011-03-01,4.810000,5.742000,4.354000,5.550000,5.550000,162816500
2011-04-01,5.490000,5.636000,4.840000,5.520000,5.520000,149474500
2011-05-01,5.520000,6.056000,5.104000,6.028000,6.028000,151744000
2011-06-01,6.000000,6.300000,5.100000,5.826000,5.826000,198636500
2011-07-01,5.814000,6.088000,5.326000,5.634000,5.634000,105510500
2011-08-01,5.734000,5.840000,4.300000,4.948000,4.948000,136078500
2011-09-01,4.932000,5.398000,4.458000,4.878000,4.878000,90107500
2011-10-01,4.990000,6.000000,4.586000,5.874000,5.874000,108313000
2011-11-01,5.678000,7.000000,5.600000,6.548000,6.548000,129234000
2011-12-01,6.514000,7.000000,5.206000,5.712000,5.712000,105642500
2012-01-01,5.788000,6.000000,4.528000,5.814000,5.814000,128049500
2012-02-01,5.814000,6.994000,5.800000,6.682000,6.682000,115968000
2012-03-01,6.702000,7.990000,6.524000,7.448000,7.448000,110817500
2012-04-01,7.466000,7.694000,6.200000,6.626000,6.626000,113764500
2012-05-01,6.626000,6.936000,5.366000,5.900000,5.900000,170926500
2012-06-01,5.706000,6.900000,5.422000,6.258000,6.258000,130635500
2012-07-01,6.270000,7.200000,5.442000,5.484000,5.484000,162717000
2012-08-01,5.598000,6.260000,5.104000,5.704000,5.704000,122410500
2012-09-01,5.704000,6.556000,5.460000,5.856000,5.856000,166475500
2012-10-01,5.900000,6.020000,5.372000,5.626000,5.626000,88104500
2012-11-01,5.650000,6.858000,5.640000,6.764000,6.764000,118804500
2012-12-01,6.778000,7.160000,6.550000,6.774000,6.774000,108571500
2013-01-01,7.000000,7.742000,6.422000,7.502000,7.502000,142323000
2013-02-01,7.634000,8.000000,6.760000,6.966000,6.966000,221280000
2013-03-01,7.000000,7.898000,6.850000,7.578000,7.578000,148275000
2013-04-01,8.472000,11.636000,8.042000,10.798000,10.798000,407740500
2013-05-01,11.198000,22.980000,10.600000,19.552000,19.552000,1656104500
2013-06-01,19.524000,22.049999,17.650000,21.472000,21.472000,895573500
2013-07-01,21.872000,27.497999,20.900000,26.856001,26.856001,1147641000
2013-08-01,27.000000,34.599998,26.472000,33.799999,33.799999,1296333000
2013-09-01,34.680000,38.900002,31.702000,38.674000,38.674000,856053000
2013-10-01,38.792000,38.846001,30.600000,31.988001,31.988001,1292274000
2013-11-01,32.599998,36.285999,23.219999,25.455999,25.455999,1541942500
2013-12-01,25.270000,31.600000,24.785999,30.086000,30.086000,988189500
2014-01-01,29.959999,37.200001,27.334000,36.282001,36.282001,919661500
2014-02-01,36.577999,53.000000,33.872002,48.962002,48.962002,1129770500
2014-03-01,47.452000,52.000000,40.599998,41.689999,41.689999,833428000
2014-04-01,41.804001,47.146000,36.863998,41.577999,41.577999,826039000
2014-05-01,41.416000,43.731998,35.444000,41.554001,41.554001,674050500
2014-06-01,41.466000,48.897999,39.849998,48.012001,48.012001,616813500
2014-07-01,48.492001,48.688000,42.720001,44.660000,44.660000,539763500
2014-08-01,45.217999,54.400002,45.200001,53.939999,53.939999,574236000
2014-09-01,55.099998,58.284000,48.023998,48.535999,48.535999,664241500
2014-10-01,48.439999,53.108002,43.464001,48.340000,48.340000,760262500
2014-11-01,48.599998,51.998001,45.700001,48.903999,48.903999,538609000
2014-12-01,48.231998,48.493999,38.529999,44.481998,44.481998,634731000
2015-01-01,44.574001,44.650002,37.000000,40.720001,40.720001,451025500
2015-02-01,40.793999,45.096001,38.655998,40.667999,40.667999,533587500
2015-03-01,40.540001,41.237999,36.279999,37.754002,37.754002,614950500
2015-04-01,37.740002,47.750000,37.209999,45.209999,45.209999,494725500
2015-05-01,45.987999,50.574001,44.049999,50.160000,50.160000,445639000
2015-06-01,50.282001,54.282001,49.136002,53.652000,53.652000,327365500
2015-07-01,54.222000,57.330002,50.158001,53.230000,53.230000,400305000
2015-08-01,53.257999,54.200001,39.000000,49.812000,49.812000,576320500
2015-09-01,48.068001,54.313999,47.394001,49.680000,49.680000,401440500
2015-10-01,49.501999,49.967999,40.400002,41.386002,41.386002,504060000
2015-11-01,41.784000,46.916000,41.160000,46.051998,46.051998,392442000
2015-12-01,46.212002,48.726002,42.973999,48.001999,48.001999,299227500
